,vt positives,ns
0,0,"awsdns-02.com,name-services.com,pointerns.com,xadica.cat,srv53.net,domaincontrol.com,e-servidor.com,inet.it,exohosting.cz,dnsimple.com,formatsystem.it,uk.net,awsdns-42.co.uk,intendo.it,awsdns-14.co.uk,styria.com,servidorlatinoamerica.com,skynet.be,mbl.is,fozzy.com,noamweb.eu,cbsig.net,cantv.net,akam.net,ui-dns.de,11.,awsdns-51.com,sili.com.br,kasserver.com,awsdns-22.co.uk,awsdns-54.co.uk,213].,ebaydns.com,arvancdn.com,idcolo.net,hostgator.com,zeit-world.org,cedc.hu,prodns.com.br,241.,awsdns-52.org,awsdns-04.co.uk,jn.pt,idp365.net,awsdns-37.co.uk,cdmon.net,impresasemplice.it,ip-only.net,ht.hr,fi [OK].,AWSDNS-56.COM,awsdns-20.co.uk,veloturbo.com.br,05.co.uk,AWSDNS-54.COM,hostingperte.it,awsdns-49.com,awsdns-06.com,hurriyet.com.tr,colt.net,177.,rumahweb.net,awsdns-16.com,calipso.com.co,estaminas.com.br,interdomain.net,siteprotect.com,qwords.id,xyzhost.eu,net4india.com,dreamhost.com,awsdns-20.com,zeit-world.com,apple.com,itmnetworks.net,udag.net,awsdns-22.com,ns1.fr,80, 2a02.,212].,moln.net,awsdns-33.com,gransy.com,webnames.ca,constellix.net,host-redirect.com,pageup-solutions.com.br,xunta.es,dandomain.dk,cdmondns-01.com,76).,163.,awsdns-61.net,awsdns-63.com,viagenie.ca,uol.com.br,firstserved.net,169).,dinau.kiev.ua,rte.ie,awsdns-13.org,ezoicns.com,hostinger.com.br,DNSIMPLE.COM,siteground.us,terra.com.br,230, 2a02.,awsdns-00.com,awsdns-24.com,awsdns-47.net,datalinkhost.com.br,tumblr.com,awsdns-08.org,awsdns-18.com,awsdns-56.co.uk,apa.at,dnspod.net,umbler.co.uk,awsdns-00.co.uk,belnet.be,netfirms.com,orderbox-dns.com,awsdns-53.net,bbcdns.net.uk,auribusiness.com,awsdns-23.org,d-zone.ca,awsdns-35.com,registrar-servers.com,awsdns-26.net,imolaoggi.it,c2tecnologiaweb.com,coltfrance.com,zeit-world.net,awsdns-49.net,hostwebmedia.com.br,ansa.it,detik.net.id,61.,1and1-dns.org,9.,mixplano.com.br,awsdns-56.com,awsdns-38.co.uk,pteinteractive.com,sdv.fr,parking.st,awsdns-47.com,awsdns-17.org,awsdns-23.com,cofina.pt,awsdns-58.org,assotld.it,awsdns-46.com,platon.org,redserverhost.com,c.is,exohosting.eu,awsdns-54.com,awsdns-45.net,etweb.it,awsdns-37.com,awsdns-54.org,swip.net,detik.com,uu.net,blacknight.com,dominiok.it,rapidcloud.com.br,first-ns.de,tcheturbo.com.br,mpint.ro,AWSDNS-44.NET,dnsnode.net,dis-hosting.net,net [OK].,wmd-nvme.com,awsdns-08.com,indomco.fr,digiservices.in,anony.nl,dns-parking.com,awsdns-11.org,hostway.ro,seeweb.it,rumahweb.org,umbler.in,awsdns-40.org,awsdns-09.co.uk,awsdns-40.net,easydns.net,awsdns-41.com,platon.sk,dis-hosting.fr,dondominio.com,mippci.gob.ve,awsdns-31.org,awsdns-15.net,informazione.it,awsdns-12.com,gmcom.com.br,edgecastdns.net,AWSDNS-47.COM,hostingweb.pe,google.com,srv53.org,1and1-dns.com,radkav.com,mydomain.com,awsdns-17.co.uk,vp-dns.net,ui-dns.org,20].,tirto.id,awsdns-16.net,anony.eu,sgvps.net,awsdns-43.org,AWSDNS-08.ORG,active24.sk,COLOMBIAHOSTING.COM,e2enetworks.net.in,awsdns-31.co.uk,guik.pe,awsdns-24.co.uk,2, 2a02.,nextlayer.at,awsdns-02.net,awsdns-44.org,terra.com,dig.com,perf1.asia,awsdns-29.org,engboms.se,awsdns-08.net,dotblock.com,awsdns-30.org,RADKAVAN.COM,azure-dns.net,awsdns-43.com,awsdns-50.org,164] [OK].,awsdns-58.com,awsdns-55.org,loopia.se,udag.org,awsdns-59.com,observatoiredesmarques.fr,awsdns-41.org,awsdns-39.net,213).,ignum.com,awsdns-59.co.uk,kripix.com,awsdns-40.com,netsons.net,namecity.com,26] [OK].,name.com,1and1-dns.us,cloudhostdns.net,164.,easydns.org,101domain.com,oleane.net,second-ns.de,noticiasdematogrosso.com.br,vhosting-it.com,awsdns-38.net,awsdns-63.co.uk,38).,globalnoticias.pt,varlik.com.br,83.,27, 2001.,space2u.com,ilimit.net,bigrock.in,awsdns-53.com,awsdns-44.co.uk,webhostingserver.nl,52.,instradns.com,AWSDNS-06.NET,rumahweb.biz,perf1.fr,awsdns-01.co.uk,awsdns-11.com,perf1.de,123-reg.co.uk,awsdns-61.co.uk,62.,kbc.be,NAME-SERVICES.COM,qwords.net,awsdns-62.org,awsdns-42.org,awsdns-19.co.uk,awsdns-21.com,awsdns-57.co.uk,tele2net.at,tlcweb.net,awsdns-29.net,dns.br,googiehost.com,siteground.asia,siteground.eu,oitenta.com.br,fidion.de,zeit-world.co.uk,derstandard.at,rai.it,perf1.eu,domain.com,awsdns-14.org,magicdigital.com.br,awsdns-15.com,awsdns-43.net,awsdns-06.net,30).,iwantmyname.net,locaweb.com.br,azure-dns.org,bbc.co.uk,balearics.net,awsdns-19.com,awsdns-14.net,1and1-dns.de,awsdns-01.net,awsdns-62.com,digitalocean.com,webuol.com.br,cosmostelevision.pe,cloudflare.com,agerpres.ro,awsdns-17.net,eyedesign.ro,agea.com.ar,inmotionhosting.com,websupport.sk,timewarner.net,dizinc.com,dn.pt,host-it.it,ignum.cz,awsdns-39.co.uk,dream-cyber.com,interdomain.es,awsdns-51.org,com [OK].,microsoftonline.com,wordpress.com,e-news.us,mondadori.it,awsdns-45.com,supercp.com,markmonitor.com,AWSDNS-23.ORG,10.,awsdns-53.co.uk,udag.de,serverdo.in,rompres.ro,36.,DIZINC.COM,136] [OK].,register.it,awsdns-07.org,ultradns.net,perf1.com,mondadori.com,servimaster.com.br,itroom.eu,77).,thehost.com.ua,awsdns-34.net,easydns.com,cygrids.net,172.,awsdns-50.co.uk,drei.host,rtlnet.fr,awsdns-03.net,awsdns-05.com,67.,salesforce.com,websitewelcome.com,mppct.gob.ve,ui-dns.com,sucuridns.com,dnsmisitio.net,27.,cloudns.net,awsdns-10.net,82.,nominalia.com,protv.ro,awsdns-36.com,org [OK].,bigrockservers.com,anycast.me,linode.com,mydnspt.net,CLOUDFLARE.COM,awsdns-26.co.uk,awsdns-02.co.uk,awsdns-34.com,awsdns-27.net,awsdns-12.net,htsoluciones.com,27] [OK].,awsdns-45.org,awsdns-28.com,webhostbox.net,147).,IPv4.,37.,ui-dns.biz,grupogodo.com,awsdns-18.net,tmgrup.com.tr,uk [OK].,rumahweb.com,awsdns-28.net,tribpub.com,awsdns-27.org,dis-hosting.eu,bbcdns.net,cscdns.net,176.,panservice.it,nbcuni.com,awsdns-36.co.uk,awsdns-41.net,hostinger.in,fastweb.it,cdmondns-01.org,trilab.com,radkavan.com,9netweb.it,awsdns-60.org,intelsrv.net,gruposinos.com.br,AWSDNS-59.CO.UK,awsdns-03.com,awsdns-38.org,awsdns-56.net,awsdns-19.org,9).,mediatemple.net,indomco.net,rilinfo.net,enarche.org,12).,AWSDNS-00.CO.UK,awsdns-48.co.uk,AMELBASOLUCIONES.CO,googledomains.com,epi.es,wix.com,azure-dns.info,awsdns-49.org,RADKAV.COM,66.,awsdns-28.org,dynect.net,bbc.net.uk,awsdns-05.co.uk,interbusiness.it,AWSDNS-45.CO.UK,lunarmania.com,audaxis.com,dnsmadeeasy.com,awsdns-42.net,nsone.net,awsdns-25.net,awsdns-43.co.uk,cyh.com.tr,142.,awsdns-47.co.uk,sfn.cn,1and1-dns.biz,hostgator.com.br,sysnet.it,awsdns-35.org,awsdns-48.org,awsdns-22.org,AWSDNS-02.CO.UK,fatorhost.com,awsdns-57.net,publico.pt,amelbasoluciones.co,awsdns-30.com,awsdns-20.org,awsdns-45.co.uk,site4now.net,awsdns-15.org,awsdns-52.co.uk,americatelnet.com.pe,euskaltel.es,combell.net,awsdns-59.org,awsdns-07.net,dongee.com,yahoo.com,1.,alternaserver.com,widhost.net,value-domain.com,nic.ru,unired.net.pe,awsdns-46.co.uk,stackpathdns.net,xl.pt,ultradns.info,whitelabeldomein.eu,Registrant Country.,awsdns-10.com,ecompany.ae,iphotel.com.br,stabletransit.com,indomco.com,awsdns-16.org,awsdns-62.co.uk,awsdns-44.net,whitelabeldomein.nl,AWSDNS-21.ORG,awsdns-13.net,gocache.com.br,awsdns-21.net,awsdns-21.org,constellix.com,elvisti.kiev.ua,rohost.com,awsdns-49.co.uk,arubadns.cz,umbler.com.br,awsdns-24.org,arubadns.net,k8.com.br,tepuyserver.net,technorail.com,awsdns-55.com,hostgator.co,awsdns-52.net,gandi.net,awsdns-51.co.uk,awsdns-05.net,rcp.net.pe,glauco.it,internetx.de,146).,43).,sr.se,exohosting.sk,AWSDNS-51.NET,awsdns-33.org,colombiahosting.com,awsdns-23.net,sistemas4g.com,above.com,awsdns-61.org,agenciadmw.com.br,srv-acens.com,148.,awsdns-51.net,wixdns.net,omitech.it,whitelabeldomein.net,dis-hosting.org,HOSTGATOR.COM,my-tss.com,register.be,umbler.com,awsdns-21.co.uk,awsdns-37.org,sourcedns.com,awsdns-31.net,AWSDNS-08.COM,awsdns-25.org,jamii.app,srv53.com,AWSDNS-41.ORG,mafracz.net,awsdns-61.com,com [Technical Error].,AWSDNS-26.NET,ultradns.co.uk,eurodns.com,dnshosting.it,healthwire.co,second-ns.com,ultradns.org,awsdns-34.org,novis.pt,uni5.net,awsdns-03.org,goedkopewebhoster.org,awsdns-63.net,156.,autodjhostreaming.com.br,auridata.pe,ntc.it,ovh.net,sphostserver.com,novelix.com.pe,awsdns-22.net,panoramad.com.pe,hostgator.in,gazzettino.it,225.,awsdns-46.org,50.,DOMAINCONTROL.COM,opticalip.com.pe,mediaoncloud.it,201, 2001.,atv.pe,bluehost.com,53] [2001.,nameshield.net,secrel.com.br,awsdns-05.org,13.,azure-dns.com,NO-WHOIS,engitel.com,saipm.com,sapo.pt,siteouro.com"
1,1,"awsdns-02.com,awsdns-53.org,domaincontrol.com,metrotvnews.com,cdmon.net,googledomains.com,arubadns.cz,criacaodesiteemsalvador.com.br,awsdns-24.net,arubadns.net,cloudflare.com,technorail.com,awsdns-34.net,awsdns-59.org,awsdns-35.net,gandi.net,dynect.net,8.,awsdns-16.com,dnsmadeeasy.com,98.,dns.br,nsone.net,awsdns-43.org,calipso.com.co,sdv.fr,NO-WHOIS,105.,awsdns-08.co.uk,awsdns-23.co.uk"
2,2,"azure-dns.info,awsdns-41.co.uk,NO-WHOIS,domaincontrol.com,cloudflare.com,azure-dns.net,azure-dns.org,iq.pl,awsdns-58.net,hostwindsdns.com,awsdns-19.com,awsdns-07.org,hostthename.com,azure-dns.com"
3,3,NO-WHOIS
4,5,NO-WHOIS
5,6,NO-WHOIS
6,7,NO-WHOIS
