,Unnamed: 0,domain,scanned url,total,positives,duration[VT],rlength,resolution,server,URL after redirects,Final URL,suspicious_tld,length,fake_tld,brand,pop_keywords,similar,is_idn,minus,num_subdomains,unshorten url
219,4258,cityindex.co.uk,https://www.cityindex.co.uk/market-analysis/astrazeneca-vaccine-study-put-on-hold/,83,1,0,230722,104.95.220.254,Microsoft-IIS/7.5,None,https://www.cityindex.co.uk/market-analysis/astrazeneca-vaccine-study-put-on-hold/,N,82,0,0,0,0,N,6,2,https://www.cityindex.co.uk/market-analysis/astrazeneca-vaccine-study-put-on-hold/
220,4330,lnkd.in,https://lnkd.in/dhuTPGv%20https:/lnkd.in/di7TvnV,83,1,0,41250,108.174.10.10,,https://www.linkedin.com/feed/update/urn:li:share:6709372777780015104,https://www.linkedin.com/feed/update/urn:li:share:6709372777780015104,N,69,0,0,0,1,N,0,1,https://www.linkedin.com/feed/update/urn:li:share:6709372777780015104
221,4331,urlz.fr,https://urlz.fr/dLKP,83,1,0,156632,104.21.234.215,openresty,https://www.leparisien.fr/societe/covid-19-astrazeneca-fait-une-pause-dans-les-essais-cliniques-de-son-vaccin-09-09-2020-8381097.php,https://www.leparisien.fr/societe/covid-19-astrazeneca-fait-une-pause-dans-les-essais-cliniques-de-son-vaccin-09-09-2020-8381097.php,N,132,0,0,0,0,N,16,2,https://www.leparisien.fr/societe/covid-19-astrazeneca-fait-une-pause-dans-les-essais-cliniques-de-son-vaccin-09-09-2020-8381097.php
222,4359,bit.ly,https://bit.ly/35jBjYP,83,1,0,34100,67.199.248.10,Apache,https://consensodelmercado.com/bolsas-internacionales/astrazeneca-suspende-temporalmente-los-ensayos-fase-iii-de-su-vacuna-contra-el-covid-19-al-enfermar-un-participante,https://consensodelmercado.com/bolsas-internacionales/astrazeneca-suspende-temporalmente-los-ensayos-fase-iii-de-su-vacuna-contra-el-covid-19-al-enfermar-un-participante,N,169,0,0,0,0,N,18,0,https://consensodelmercado.com/bolsas-internacionales/astrazeneca-suspende-temporalmente-los-ensayos-fase-iii-de-su-vacuna-contra-el-covid-19-al-enfermar-un-participante
223,4370,bit.ly,https://bit.ly/3bFE4ob,83,1,0,91152,67.199.248.11,GSE,https://www.mulastar.com/2020/09/aliyefanyiwa-jaribio-la-chanjo-ya.html,https://www.mulastar.com/2020/09/aliyefanyiwa-jaribio-la-chanjo-ya.html,N,71,0,0,0,0,N,4,2,https://www.mulastar.com/2020/09/aliyefanyiwa-jaribio-la-chanjo-ya.html
224,4439,lnkd.in,https://lnkd.in/eMJNKfr%20https:/lnkd.in/eDdXDNF,83,1,0,37477,108.174.10.10,,https://www.linkedin.com/feed/update/urn:li:share:6709375349794377728,https://www.linkedin.com/feed/update/urn:li:share:6709375349794377728,N,69,0,0,0,1,N,0,1,https://www.linkedin.com/feed/update/urn:li:share:6709375349794377728
225,4575,bit.ly,http://bit.ly/checkourstore%20https:/www.cbsnews.com/news/astrazeneca-temporarily-pauses-coronavirus-vaccine-trial-after-participant-may-have-suffered-adverse-reaction/%20http:/ThePugilistMag.co.uk,83,1,0,5422,67.199.248.11,nginx,https://bitly.com/checkourstore%20https:/www.cbsnews.com/news/astrazeneca-temporarily-pauses-coronavirus-vaccine-trial-after-participant-may-have-suffered-adverse-reaction/%20http:/ThePugilistMag.co.uk,https://bitly.com/checkourstore%20https:/www.cbsnews.com/news/astrazeneca-temporarily-pauses-coronavirus-vaccine-trial-after-participant-may-have-suffered-adverse-reaction/%20http:/ThePugilistMag.co.uk,N,201,0,0,0,0,N,12,4,https://bitly.com/checkourstore%20https:/www.cbsnews.com/news/astrazeneca-temporarily-pauses-coronavirus-vaccine-trial-after-participant-may-have-suffered-adverse-reaction/%20http:/ThePugilistMag.co.uk
226,4597,viportal.co,https://www.viportal.co/business/astrazeneca-vaccine-tests-face-delay-after-patient-gets-ill/?utm_source=dlvr.it&utm_medium=twitter,83,2,0,152571,209.250.225.52,Apache,None,https://www.viportal.co/business/astrazeneca-vaccine-tests-face-delay-after-patient-gets-ill/?utm_source=dlvr.it&utm_medium=twitter,N,131,0,0,1,0,N,8,2,https://www.viportal.co/business/astrazeneca-vaccine-tests-face-delay-after-patient-gets-ill/?utm_source=dlvr.it&utm_medium=twitter
227,4624,lnkd.in,https://lnkd.in/dxeQkGV%20https:/lnkd.in/dvBkRNC,83,1,0,36705,108.174.10.10,,https://www.linkedin.com/feed/update/urn:li:share:6709379799611125760,https://www.linkedin.com/feed/update/urn:li:share:6709379799611125760,N,69,0,0,0,1,N,0,1,https://www.linkedin.com/feed/update/urn:li:share:6709379799611125760
228,4718,bit.ly,https://bit.ly/3hcDmjI%20https:/twitter.com/oscarbadoino/status/1303609195909066753,83,1,0,5422,67.199.248.11,nginx,https://bitly.com/3hcDmjI%20https:/twitter.com/oscarbadoino/status/1303609195909066753,https://bitly.com/3hcDmjI%20https:/twitter.com/oscarbadoino/status/1303609195909066753,N,86,0,0,0,0,N,0,1,https://bitly.com/3hcDmjI%20https:/twitter.com/oscarbadoino/status/1303609195909066753
229,4753,bit.ly,http://bit.ly/checkourstore%20https:/www.cnbc.com/2020/09/09/astrazenecas-vaccine-trial-halt-defended-by-matt-hancock.html%20http:/ThePugilistMag.co.uk,83,1,0,5422,67.199.248.10,nginx,https://bitly.com/checkourstore%20https:/www.cnbc.com/2020/09/09/astrazenecas-vaccine-trial-halt-defended-by-matt-hancock.html%20http:/ThePugilistMag.co.uk,https://bitly.com/checkourstore%20https:/www.cnbc.com/2020/09/09/astrazenecas-vaccine-trial-halt-defended-by-matt-hancock.html%20http:/ThePugilistMag.co.uk,N,155,0,0,0,0,N,7,5,https://bitly.com/checkourstore%20https:/www.cnbc.com/2020/09/09/astrazenecas-vaccine-trial-halt-defended-by-matt-hancock.html%20http:/ThePugilistMag.co.uk
230,4834,elcorreogallego.es,https://www.elcorreogallego.es/primer-plano/astrazeneca-detiene-el-ensayo-de-su-vacuna-contra-el-covid-19-por-la-aparicion-de-una-enfermedad-inexplicable-CB4517271,83,1,0,80017,130.61.65.140,nginx/1.14.0,None,https://www.elcorreogallego.es/primer-plano/astrazeneca-detiene-el-ensayo-de-su-vacuna-contra-el-covid-19-por-la-aparicion-de-una-enfermedad-inexplicable-CB4517271,N,163,0,0,0,0,N,19,1,https://www.elcorreogallego.es/primer-plano/astrazeneca-detiene-el-ensayo-de-su-vacuna-contra-el-covid-19-por-la-aparicion-de-una-enfermedad-inexplicable-CB4517271
231,4875,clinica-aeromedica.net,https://www.clinica-aeromedica.net/ambiente/covid-19-expertos-contra-el-panico/,83,1,0,144765,51.83.158.87,Apache,None,https://www.clinica-aeromedica.net/ambiente/covid-19-expertos-contra-el-panico/,N,79,0,0,0,0,N,6,1,https://www.clinica-aeromedica.net/ambiente/covid-19-expertos-contra-el-panico/
232,5020,amna.gr,https://www.amna.gr/home/article/486146/POY-koronoios-I-asfaleia-enos-pithanou-emboliou-apotelei-upsisti-proteraiotita%20https:/www.pscp.tv/w/1OwxWLWpnBpKQ,83,1,0,6236,23.48.94.123,nginx/1.15.8,None,https://www.amna.gr/home/article/486146/POY-koronoios-I-asfaleia-enos-pithanou-emboliou-apotelei-upsisti-proteraiotita%20https:/www.pscp.tv/w/1OwxWLWpnBpKQ,N,155,0,0,0,0,N,9,3,https://www.amna.gr/home/article/486146/POY-koronoios-I-asfaleia-enos-pithanou-emboliou-apotelei-upsisti-proteraiotita%20https:/www.pscp.tv/w/1OwxWLWpnBpKQ
