resolved_domain,text,created_at,author_id,twtid
scientificamerican.com,3,3,3,3
thewashingtongazette.com,3,3,1,3
replug.link,2,3,3,3
ertopen.com,3,3,2,3
scam-detector.com,3,3,1,3
politykapolska.eu,3,3,3,3
twimmer.com,3,3,1,3
jdfor2020.com,3,3,2,3
rtlnieuws.nl,2,2,2,2
mp.pl,2,2,2,2
kryptoguiden.no,2,2,2,2
amzn.to,2,2,2,2
3.report,2,2,1,2
klubinteligencjipolskiej.pl,2,2,2,2
kourdistoportocali.com,2,2,2,2
knoema.com,2,2,1,2
procon.org,2,2,2,2
ksu.no,2,2,1,2
moneycontrol.com,2,2,2,2
radiologybusiness.com,2,2,2,2
meehanmd.com,2,2,1,2
proremedium.pl,2,2,2,2
logically.ai,2,2,2,2
sayit.world,2,2,1,2
local.gov.uk,2,2,1,2
netguide.com,2,2,2,2
abplive.com,2,2,1,2
sciencedaily.com,2,2,2,2
yomiuri.co.jp,2,2,2,2
pub.med,2,2,2,2
max-happy.com,2,2,1,2
yalemedicine.org,2,2,2,2
medicinapiccoledosi.it,2,2,2,2
medicine.news,2,2,1,2
2.report,2,2,1,2
mainampasauli.news,2,2,1,2
live.com,2,2,2,2
sfda.gov.sa,2,2,2,2
aim4truth.org,2,2,2,2
senate.gov,2,2,1,2
zordur.ve,2,2,2,2
mlb.com,2,2,1,2
pubmed.gov,2,2,2,2
larazon.es,2,2,2,2
steemit.com,2,2,1,2
lakelandtimes.com,2,2,2,2
americanhealthdefenders.com,1,2,1,2
le-bonheur-ne-s-achete-pas-il-se-construit-pas-a-pas.com,2,2,2,2
sciencefiles.org,2,2,2,2
state.or.us,2,2,2,2
spreely.com,2,2,2,2
sabcnews.com,2,2,1,2
newsorbit.com,2,2,2,2
sputniknews.com,2,2,2,2
air-nifty.com,2,2,1,2
letselschadeadvocaat.nl,2,2,2,2
www.gov.il,2,2,2,2
satouclk.jp,2,2,2,2
lemonde.fr,2,2,2,2
sciencenews.org,2,2,2,2
redstatetalkradio.com,2,2,2,2
fileleaks.com,2,2,1,2
tribeqr.com,2,2,1,2
cbs.nl,2,2,2,2
fbcdn.net,2,2,2,2
fda.gov.tw,2,2,2,2
travishouser.com,2,2,1,2
open.online,2,2,2,2
opb.org,2,2,2,2
focus.de,2,2,2,2
cdc.gov.tw,2,2,2,2
england.nhs.uk,2,2,1,2
tweetedtimes.com,2,2,2,2
euronews.com,2,2,2,2
chartword.com,2,2,2,2
euskalnews.com,2,2,2,2
plandemicshirts.com,2,2,2,2
podcastaddict.com,2,2,2,2
totalnewsjp.com,2,2,2,2
website-files.com,2,2,2,2
byoblu.com,2,2,2,2
ohio.gov,2,2,2,2
forms.gle,2,2,1,2
revyuh.com,2,2,1,2
offgridquest.com,2,2,1,2
